prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
626,2239,rejected,15,0.15,0.00040024832623887226,0.001909707745053557,0.05895804241299629,1,mean,703
627,22327,confirmed,87,0.87,0.0025278537657911033,0.006516424550921464,0.10051222890615463,10,mean,55
628,22784,rejected,30,0.3,0.0006741818145911152,0.0022596371330388305,0.1142575815320015,10,mean,512
629,3895,rejected,13,0.13,0.00039456890410652167,0.0015148728446051892,0.0839698389172554,2,mean,55
630,402,rejected,35,0.35,0.000685234503517106,0.00307854581430648,0.10202863812446594,1,max,402
631,19889,rejected,32,0.32,0.0007469031237513004,0.002990976164977527,0.07543393969535828,9,min,689
632,13258,rejected,8,0.08,0.0003062047044613936,0.0014318613108180076,0.07528078556060791,6,mean,202
633,6288,rejected,8,0.08,0.00027990347715681446,0.0014004536693425019,0.07746950536966324,3,mean,144
634,13336,rejected,33,0.33,0.0007147615749952098,0.002326627137081368,0.07637324184179306,6,mean,280
635,20258,confirmed,85,0.85,0.0021955837129883165,0.0067947253266585905,0.10753694176673889,9,mean,290
636,7071,rejected,19,0.19,0.0005202057408621761,0.0021974205758882016,0.10406669229269028,4,max,159
637,15893,rejected,13,0.13,0.0004059766242278219,0.0015770128849255875,0.0851387083530426,7,mean,533
638,2202,rejected,5,0.05,0.0002640339879612377,0.0021103625409518096,0.06863569468259811,1,mean,666
639,27460,rejected,7,0.07,0.0003533809184295139,0.001662161151293428,0.08935079723596573,12,mean,580
640,27253,rejected,5,0.05,0.0002110216275253884,0.0009886537180841478,0.07732941210269928,12,mean,373
641,13029,tentative,48,0.48,0.0009849985507897323,0.003709322553469252,0.13907240331172943,6,min,741
642,9,rejected,22,0.22,0.0005293181344713177,0.002070217079267726,0.11479224264621735,1,max,9
643,18205,rejected,19,0.19,0.00046119999372153233,0.001708060447190357,0.07270865142345428,8,mean,541
644,2284,rejected,12,0.12,0.00037570073701552714,0.0015846765250229044,0.08113611489534378,1,mean,748
645,23354,tentative,65,0.65,0.0014239164009257812,0.004528661899219486,0.1113031655550003,11,max,314
646,1544,tentative,45,0.45,0.0008951836898983583,0.0033844370867515622,0.07692653685808182,1,mean,8
647,20024,rejected,9,0.09,0.0003790609660602954,0.001606170487221001,0.08229296654462814,9,mean,56
648,13052,rejected,17,0.17,0.0004887736833881779,0.0023295789311649838,0.11021807789802551,6,min,764
649,6310,rejected,7,0.07,0.00026257784714543936,0.0016235201310869677,0.06516057997941971,3,mean,166
650,684,rejected,13,0.13,0.00037078058502347267,0.0016019473210986263,0.09629026800394058,1,max,684
651,17982,tentative,38,0.38,0.0007318814172572279,0.002546753424188513,0.08017901331186295,8,mean,318
652,20317,rejected,5,0.05,0.0003036449825769324,0.0015979795559426034,0.08901693671941757,9,mean,349
653,6739,rejected,11,0.11,0.000324310213022069,0.0015373468592040317,0.07716061174869537,3,mean,595
654,12216,tentative,42,0.42,0.0009008266617738243,0.0028748854610696345,0.12360690534114838,6,max,696
655,24953,confirmed,62,0.62,0.001238885253545297,0.003578211806055186,0.11203853040933609,11,mean,377
656,6229,rejected,36,0.36,0.0006819495681901052,0.002905061233416716,0.1091127023100853,3,mean,85
657,1473,rejected,14,0.14,0.0004475364464017996,0.0015996920204678722,0.10463870316743851,1,min,705
658,6794,rejected,4,0.04,0.0003229249898627376,0.0012580097682377473,0.06562831997871399,3,mean,650
659,20159,rejected,3,0.03,0.000201874704032307,0.001762910540931173,0.0803847536444664,9,mean,191
660,6370,rejected,1,0.01,0.00012539381825967983,0.000775760837476811,0.06415954977273941,3,mean,226
661,22754,confirmed,100,1.0,0.012125473299403302,0.022141625646531164,0.13203683495521545,10,mean,482
662,8998,rejected,12,0.12,0.0004761487306634225,0.0027425088523725777,0.08241194486618042,4,mean,550
663,230,rejected,15,0.15,0.000423139337547544,0.0020816412100025895,0.10627120733261108,1,max,230
664,24716,rejected,7,0.07,0.00027043673679946637,0.0015868264131741958,0.07765908539295197,11,mean,140
665,8776,tentative,54,0.54,0.0009834956253022527,0.002488438619884648,0.08806811273097992,4,mean,328
666,20023,confirmed,100,1.0,0.005301509012598076,0.011821567233924342,0.10551198571920395,9,mean,55
667,12321,rejected,26,0.26,0.0005658109298424732,0.002518202788484643,0.12324263900518417,6,min,33
668,1885,rejected,9,0.09,0.0003182193328865795,0.0016518498267888613,0.06612825393676758,1,mean,349
669,8943,rejected,1,0.01,0.00017537803949498352,0.0008369544832640487,0.0760720744729042,4,mean,495
670,6308,tentative,37,0.37,0.0007434255399580223,0.0031115989988349845,0.09553688019514084,3,mean,164
671,21940,rejected,20,0.2,0.0004849592213078208,0.002015759961980035,0.11193984746932983,10,min,436
672,4393,tentative,41,0.41,0.0007797246272740414,0.004253085765081939,0.06846292316913605,2,mean,553
673,10828,rejected,32,0.32,0.0006306317159677379,0.0022536834122323956,0.06914690136909485,5,mean,76
674,16122,rejected,3,0.03,0.00028880117408089313,0.0015063985211271847,0.08261580765247345,7,mean,762
675,10811,rejected,17,0.17,0.00041978558617232806,0.0015991694193925672,0.05934671312570572,5,mean,59
676,27416,rejected,22,0.22,0.0005414019233037676,0.00249680537131984,0.07677717506885529,12,mean,536
677,4695,rejected,1,0.01,0.00021517231396543134,0.0009857117472132798,0.10524571686983109,3,max,87
678,13211,rejected,34,0.34,0.0007350101299028546,0.0029166038601421782,0.12442969530820847,6,mean,155
679,5384,tentative,38,0.38,0.0006731265259133675,0.0021615557896630423,0.09201884269714355,3,min,8
680,17959,rejected,8,0.08,0.0003787062484813019,0.001306349107770275,0.09923875331878662,8,mean,295
681,20726,rejected,2,0.02,0.00020084240159130173,0.00143296929650228,0.09030947834253311,9,mean,758
682,3994,rejected,15,0.15,0.000502039733886754,0.0016315857996186212,0.060612909495830536,2,mean,154
683,5259,confirmed,98,0.98,0.005532047298584292,0.012160402157014388,0.16021424531936646,3,max,651
684,25012,rejected,1,0.01,0.00015808912642441102,0.0011434165978122805,0.061141375452280045,11,mean,436
685,15226,rejected,2,0.02,0.00012353483986913413,0.0009663090707325013,0.09289754182100296,7,min,634
686,4192,confirmed,96,0.96,0.003907684709333015,0.01148352974826084,0.07400475442409515,2,mean,352
