rank,feature_index,mutual_information,layer_index,aggregation_component,within_component_dim
320,1846,0.062821165,1,mean,310
321,345,0.11294442,1,max,345
322,27089,0.08848742,12,mean,209
323,24771,0.102794245,11,mean,195
324,23550,0.118008815,11,max,510
325,3981,0.0736813,2,mean,141
326,14396,0.106888145,7,max,572
327,15476,0.09937974,7,mean,116
328,6516,0.07878414,3,mean,372
329,6336,0.094306685,3,mean,192
330,21026,0.1363299,10,max,290
331,10833,0.094357155,5,mean,81
332,4394,0.067105554,2,mean,554
333,2203,0.07441729,1,mean,667
334,8331,0.117807426,4,min,651
335,15566,0.08843806,7,mean,206
336,14275,0.15389475,7,max,451
337,1902,0.1190012,1,mean,366
338,97,0.120286204,1,max,97
339,22590,0.092073284,10,mean,318
340,19934,0.109407455,9,min,734
341,1838,0.07353699,1,mean,302
342,26962,0.093586236,12,mean,82
343,3810,0.11398515,2,min,738
344,2278,0.07041403,1,mean,742
345,11408,0.12641883,5,mean,656
346,22673,0.08522164,10,mean,401
347,14636,0.099880196,7,min,44
348,22496,0.074188754,10,mean,224
349,22706,0.086735636,10,mean,434
350,4968,0.14038874,3,max,360
351,11163,0.10483964,5,mean,411
352,15724,0.12633775,7,mean,364
353,6158,0.06364292,3,mean,14
354,4987,0.119187325,3,max,379
355,20124,0.077715054,9,mean,156
356,746,0.113275684,1,max,746
357,22863,0.08771445,10,mean,591
358,4419,0.06445144,2,mean,579
359,3876,0.1093994,2,mean,36
360,18190,0.11572263,8,mean,526
361,3983,0.0575804,2,mean,143
362,312,0.1122168,1,max,312
363,20315,0.12958105,9,mean,347
364,3961,0.09969017,2,mean,121
365,4778,0.13486454,3,max,170
366,14141,0.108529896,7,max,317
367,13262,0.09818519,6,mean,206
368,18050,0.15857635,8,mean,386
369,23531,0.12379016,11,max,491
370,11501,0.091735415,5,mean,749
371,2256,0.0765526,1,mean,720
372,20514,0.093166366,9,mean,546
373,23875,0.12509185,11,min,67
374,11250,0.0877522,5,mean,498
375,6291,0.12194929,3,mean,147
376,20853,0.1019941,10,max,117
377,14364,0.14862747,7,max,540
378,3864,0.07792357,2,mean,24
379,4639,0.12156721,3,max,31
380,4526,0.08012833,2,mean,686
381,25015,0.11781203,11,mean,439
382,26976,0.07245638,12,mean,96
383,1628,0.076129414,1,mean,92
384,1911,0.07841509,1,mean,375
